"名称","名称かな","所在地","TEL","FAX","備考","URL","利用可能時間","休館日_1","写真","参考URL2","爆心地からの距離","所有者等","構造","郵便番号","TEL(夜間・休日）","私立等・公立の別","開設者種別","科目","対応可能言語","登録区分","開館時間","休館日_2","設置学部","障害種別","類型","設置者","文化財分類","種類","文化財指定日","区名","介護保険事業所番号","申請者-法人名","状態区分","NO","行政区","水利種別","公私区分","施設ID","登録番号","担当区内通番号","経度","緯度","分類"
"医療法人　てっせん会　あきもと皮膚科リハビリ整形外科","","広島市南区的場町一丁目７番２１号","082-261-4663","","","","","","","","","","","732-0824","","","","","","","","","","","","","","","","","","","","","","","","A048000051","","","132.47456700009","34.3928999996701","診療所"
"医療法人社団　　新井内科","","広島市南区京橋町７－１８","082-261-2862","","","","","","","","","","","732-0828","","","","","","","","","","","","","","","","","","","","","","","","A048000052","","","132.471822000178","34.3945449996071","診療所"
"医療法人　石田耳鼻咽喉科医院","","広島市南区旭２－４－２８","082-251-8018","","","","","","","","","","","734-0036","","","","","","","","","","","","","","","","","","","","","","","","A048000053","","","132.477129000117","34.3750739997629","診療所"
"医療法人　牛尾内科医院","","広島市南区宇品神田５－２２－１７","082-254-5131","","","","","","","","","","","734-0004","","","","","","","","","","","","","","","","","","","","","","","","A048000054","","","132.464652000008","34.3574029997854","診療所"
"医療法人社団　江島医院","","広島市南区宇品御幸２丁目５番７号","082-251-2525","","","","","","","","","","","734-0015","","","","","","","","","","","","","","","","","","","","","","","","A048000055","","","132.462484999945","34.3664579998093","診療所"
"医療法人　俊和会　岡田クリニック","","広島市南区仁保新町１丁目９番１２号","082-282-1565","","","","","","","","","","","734-0024","","","","","","","","","","","","","","","","","","","","","","","","A048000056","","","132.49253800016","34.3759289998075","診療所"
"梶川整形外科リウマチ科医院","","広島市南区宇品御幸１丁目１４番１９号","082-254-6622","","","","","","","","","","","734-0015","","","","","","","","","","","","","","","","","","","","","","","","A048000057","","","132.46298499997","34.3675409998366","診療所"
"さかたに小児科","","広島市南区宇品神田５丁目２６番１７号","082-251-0007","","","","","","","","","","","734-0004","","","","","","","","","","","","","","","","","","","","","","","","A048000059","","","132.463819000019","34.3571809997585","診療所"
"佐々木外科整形外科医院","","広島市南区的場町２丁目３－９","082-262-1221","","","","","","","","","","","732-0824","","","","","","","","","","","","","","","","","","","","","","","","A048000060","","","132.474261000064","34.3920109996916","診療所"
"医療法人社団　しまもと医院","","広島市南区宇品東７丁目２番２６号","082-254-6300","","","","","","","","","","","734-0003","","","","","","","","","","","","","","","","","","","","","","","","A048000061","","","132.468015999882","34.3602009998819","診療所"
"瀬戸産婦人科医院","","広島市南区東本浦町２２番５号","082-281-1359","","","","","","","","","","","734-0025","","","","","","","","","","","","","","","","","","","","","","","","A048000062","","","132.492205000173","34.3748179998208","診療所"
"医療法人社団　そごう会　十河クリニック","","広島市南区的場町１丁目７番２０号","082-261-0280","","","","","","","","","","","732-0824","","","","","","","","","","","","","","","","","","","","","","","","A048000063","","","132.474469000086","34.392736999674","診療所"
"医療法人社団　宏精クリニック","","広島市南区宇品御幸三丁目１－１１","082-256-0065","","","","","","","","","","","734-0015","","","","","","","","","","","","","","","","","","","","","","","","A048000064","","","132.463957999844","34.3633749997857","診療所"
"田村医院","","広島市南区宇品海岸２－１２－２５","082-251-4043","","","","","","","","","","","734-0011","","","","","","","","","","","","","","","","","","","","","","","","A048000065","","","132.46244300015","34.354645999716","診療所"
"国土交通省共済組合　第六管区海上保安本部　診療所","","広島市南区宇品海岸三丁目１０－１７　広島湾港合同庁舎３階","082-251-5111","","","","","","","","","","","734-0011","","","","","","","","","","","","","","","","","","","","","","","","A048000066","","","132.467644000155","34.3542989998931","診療所"
"西田眼科医院","","広島市南区東本浦町１６番１０号","082-282-8501","","","","","","","","","","","734-0025","","","","","","","","","","","","","","","","","","","","","","","","A048000067","","","132.491372000172","34.3756519998137","診療所"
"医療法人　野島内科医院","","広島市南区東雲本町１丁目１２番３号","082-282-5517","","","","","","","","","","","734-0023","","","","","","","","","","","","","","","","","","","","","","","","A048000068","","","132.485455000148","34.3814839999125","診療所"
"医療法人社団　タイエツカイ　半田耳鼻咽喉科医院","","広島市南区出汐１丁目１２番２号","082-251-0729","","","","","","","","","","","734-0001","","","","","","","","","","","","","","","","","","","","","","","","A048000069","","","132.476567000218","34.3788729997273","診療所"
"社会福祉法人　広島平和養老館　附属診療所","","広島市南区似島町東大谷３０７３－５","082-259-2182","","","","","","","","","","","734-0017","","","","","","","","","","","","","","","","","","","","","","","","A048000070","","","132.433077999931","34.311736000028","診療所"
"医療法人社団あやめ会　福原整形外科医院","","広島市南区宇品西４丁目４番８号","082-251-6219","","","","","","","","","","","734-0014","","","","","","","","","","","","","","","","","","","","","","","","A048000071","","","132.459847000071","34.3561249996355","診療所"
"吉川内科消化器科医院","","広島市南区翠５丁目１６番５号","082-254-2076","","","","","","","","","","","734-0005","","","","","","","","","","","","","","","","","","","","","","","","A048000072","","","132.467706999894","34.3684579999027","診療所"
"医療法人社団幸明会　松本内科循環器科医院","","広島市中区光南１－１６－２３","082-243-7585","","","","","","","","","","","730-0825","","","","","","","","","","","","","","","","","","","","","","","","A048000073","","","132.446265000048","34.3674569999523","診療所"
"太田外科胃腸科放射線科医院","","広島市中区舟入南４－３－１","082-231-8338","","","","","","","","","","","730-0847","","","","","","","","","","","","","","","","","","","","","","","","A048000074","","","132.440291999919","34.3772890000461","診療所"
"小野内科循環器科","","広島市西区中広町２－２８－１０","082-231-8585","","","","","","","","","","","733-0012","","","","","","","","","","","","","","","","","","","","","","","","A048000075","","","132.442680000046","34.4022869996651","診療所"
"沢近医院","","広島市南区宇品御幸１丁目１７番８号","082-251-0261","","","","","","","","","","","734-0015","","","","","","","","","","","","","","","","","","","","","","","","A048000076","","","132.464401999944","34.3675129998543","診療所"
"広島原爆被爆者療養研究センター附属診療所","","広島市東区牛田新町１丁目１６番１号","082-228-7311","","","","","","","","","","","732-0068","","","","","","","","","","","","","","","","","","","","","","","","A048000077","","","132.471871000126","34.420063000085","診療所"
"大野木耳鼻咽喉科医院","","広島市東区牛田旭１丁目７番１３号","082-221-5585","","","","","","","","","","","732-0067","","","","","","","","","","","","","","","","","","","","","","","","A048000078","","","132.468454999942","34.414730000055","診療所"
"内科（糖尿病）　久安医院","","広島市西区観音本町２丁目７番２３号","082-291-6645","","","","","","","","","","","733-0033","","","","","","","","","","","","","","","","","","","","","","","","A048000079","","","132.434930999994","34.3891209998342","診療所"
"医療法人社団　慈聖会　小沢医院","","広島市東区温品六丁目３番１３号","082-289-1021","","","","","","","","","","","732-0033","","","","","","","","","","","","","","","","","","","","","","","","A048000080","","","132.510201000154","34.4186469999669","診療所"
